# eventIndex trackIndex extX(cm) extY(cm) extZ(cm) extPx(MeV/c) extPy(MeV/c) extPz(MeV/c) reduced-chi2
224 0 -50.689726 -8.491185 0.961129 -45.120612 -69.025531 -65.038115 1.117677
226 0 41.953495 30.029544 -18.595966 30.175371 99.202894 14.178109 1.040278
228 0 4.799550 -51.421704 28.802208 78.031071 -67.310147 17.441612 1.030980
233 0 26.207667 -44.001324 -6.652030 101.220474 -4.370017 -26.694097 1.183365
234 0 -29.294237 42.816695 -25.760889 -90.380013 25.503464 -47.657564 0.809557
235 0 48.881468 -16.724881 14.715642 96.430905 37.807103 16.437471 0.915366
237 0 11.640810 -50.396899 41.511562 77.534765 -66.219158 22.777542 1.134556
239 0 -33.418627 -39.119906 38.420037 20.836590 -96.469969 34.743607 1.129440
244 0 -45.226551 -24.334040 41.732449 1.422052 -103.978649 11.146524 1.062722
245 0 -38.500244 -34.103732 -48.585777 -1.053507 -103.507251 -15.212670 1.079720
246 0 -41.023060 30.965673 -9.599145 -102.462664 -18.040001 -14.911856 0.894715
247 0 -41.975146 29.854695 -14.331526 -90.158768 -9.429371 -53.266987 1.064606
251 0 -37.155632 -35.383030 22.638844 25.553418 -100.166701 -4.490539 0.817437
259 0 30.661934 41.385923 -26.250134 -25.453696 96.192196 -35.071969 0.912874
260 0 -50.410117 12.072787 2.885520 -90.093829 -50.565667 12.819051 0.878490
262 0 -48.316929 -18.183884 -22.822361 -30.566642 -99.520639 5.724983 1.006968
268 0 -37.296091 35.332912 -8.695872 -102.245800 -9.070426 23.183156 1.012716
270 0 48.852532 -16.671987 -26.316984 81.675723 52.787401 -39.820973 0.834508
271 0 37.283844 -34.794923 -16.165215 92.007957 23.992481 42.806789 1.250833
272 0 -51.414677 -2.509379 37.402622 -55.739235 -83.415724 3.596336 0.845926
274 0 43.759845 -26.607052 -6.730994 89.537688 48.275776 26.162114 1.236913
275 0 -29.061199 -42.431603 -16.914969 28.845318 -86.306378 -46.252042 0.991891
276 0 -45.998772 -22.628200 -26.296169 -8.278049 -102.228247 5.528773 0.703296
277 0 15.344045 -49.059856 18.451092 89.032032 -48.832025 -3.278787 0.981852
286 0 -51.758823 1.972138 -12.181480 -72.008908 -72.508186 -23.352284 0.727527
289 0 -24.453615 45.515724 -50.043755 -101.061389 15.587261 -22.170197 1.106124
291 0 43.161619 -28.283596 -8.235511 99.846885 11.709650 -18.622631 0.911134
293 0 -44.334314 26.558694 -16.015165 -102.304436 -25.800139 -2.116079 1.025266
294 0 22.009434 -26.927158 1.832828 -3.232288 101.920351 21.932831 0.979685
295 0 28.412047 -42.674670 -20.376795 92.378430 14.168379 -4.835777 0.726881
299 0 39.322460 33.028715 -33.351109 -13.410704 101.274773 -17.052475 0.801350
301 0 -51.318248 3.045772 -17.761959 -70.573181 -72.777599 -25.562009 0.989762
306 0 -51.154129 -4.606639 -37.274948 -34.545910 -84.521897 -52.987598 0.745879
317 0 51.255680 1.777735 -25.003443 55.388108 84.382772 26.678152 1.269863
319 0 -40.564418 -31.937280 -16.699543 -20.527825 -100.723982 15.823307 0.833875
320 0 50.727848 9.252176 22.136370 51.334370 76.282524 49.589850 0.773519
323 0 51.103389 0.450682 47.928936 48.292503 91.112740 19.175397 0.975790
325 0 9.032518 50.651719 40.580345 -74.344136 72.331339 12.251410 0.895202
326 0 -50.599476 8.792788 -13.841886 -84.941141 -59.194487 17.872242 0.925632
329 0 20.210867 47.042252 -22.506340 -50.088856 90.865411 -4.212194 0.878867
333 0 28.909220 42.788857 37.294460 1.514691 104.029857 6.222130 1.117852
334 0 -40.630661 -31.824749 -35.024647 -16.908815 -99.776953 -27.305078 0.951917
337 0 28.656280 -42.347313 -42.876362 102.280393 10.823471 -18.402373 1.008107
340 0 -48.755081 15.818311 -31.669149 -81.183091 -63.352741 -19.513743 0.968911
345 0 -46.256588 22.382837 -13.970712 -100.361302 -25.522154 11.949138 0.758066
346 0 -35.229237 -37.437468 26.443264 -2.250299 -103.598885 -14.255842 0.810098
348 0 8.201313 -51.122724 -31.900563 71.851410 -68.630859 -36.104336 0.913572
351 0 -49.432127 -14.903588 -32.478657 -64.571038 -81.905268 5.658666 1.023155
352 0 51.302704 -3.805579 -9.933075 81.339806 65.490752 -9.871005 0.983296
358 0 47.299596 -20.401666 -23.522917 92.250250 44.156779 19.634042 1.097579
359 0 -39.628663 -32.934351 -11.411215 -23.470590 -101.129599 6.456548 1.228461
362 0 50.833887 -7.031997 14.416732 71.340412 74.820697 7.379835 1.004241
364 0 40.464985 31.325454 8.178275 -13.738174 103.424825 13.199431 1.041786
370 0 22.691152 45.928421 -1.377504 -48.093516 89.768745 5.151385 0.843553
372 0 -12.295785 -49.950131 16.182327 58.543894 -78.223556 -35.293393 1.068205
377 0 40.164445 -32.406719 -34.198208 103.655040 8.846452 10.654571 0.878238
380 0 0.308445 -51.780069 22.631285 75.441651 -71.554102 5.691571 0.992724
389 0 -8.008107 -50.910017 19.801918 69.161110 -75.498179 21.920279 1.064631
394 0 34.147278 38.313544 -7.366245 -31.511094 97.601034 -21.226073 0.940307
396 0 -35.307679 37.347597 -9.868286 -100.925289 16.912118 -20.048540 0.951219
397 0 -20.826518 -47.293692 -25.634041 25.389051 -101.153269 -10.556491 1.033151
399 0 1.707047 -51.123276 3.231388 84.769987 -45.790970 4.151398 1.204626
403 0 1.333408 -51.593185 23.922432 70.857778 -70.517302 -31.051340 1.056567
404 0 50.896877 9.753005 -6.247784 42.891968 74.182168 -61.017405 1.006747
